,name,external_id,external_id_source,lat,lng,address,minimum_age,url
249,Star Pass Mountain,336814793042530,facebook_places,32.231935118355,-110.99767955962,"0.3mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/336814793042530
250,AutoZone,291985650845013,facebook_places,32.235079493015,-111.0025290386,"<0.1mi · 1705 W Speedway Blvd, Tucson",,https://www.instagram.com/explore/locations/291985650845013
251,Pueblo Dental Center,438841539827383,facebook_places,32.2345112,-111.0027411,"<0.1mi · 1000 N Silverbell Rd, Tucson, Arizona",,https://www.instagram.com/explore/locations/438841539827383
252,Bianchi's Italian,563654003798006,facebook_places,32.425580558368,-111.04222993959,"13.4mi · 1110 N Silverbell Rd., Tucson, Arizona",,https://www.instagram.com/explore/locations/563654003798006
253,Friends of Pima Animal Care Center,1550026445249827,facebook_places,32.23468,-111.00376,"<0.1mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/1550026445249827
254,Finix Arizona,223613004382457,facebook_places,32.232161578304,-110.98675530988,"0.9mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/223613004382457
255,Sonora Desert Museum,361139627273897,facebook_places,32.235053415669,-110.99053740258,0.7mi,,https://www.instagram.com/explore/locations/361139627273897
256,A Mountian,358348000880628,facebook_places,32.22868226,-110.98973929882,0.8mi,,https://www.instagram.com/explore/locations/358348000880628
257,The Westside,101798939930501,facebook_places,32.229310870171,-111.00743114948,"0.4mi · Tucson, Arizona",,https://www.instagram.com/explore/locations/101798939930501
258,West University,859925170760987,facebook_places,32.231845,-110.964254,"0.4mi · West University, Tucson",,https://www.instagram.com/explore/locations/859925170760987
259,Sabino Canyon,104370043087669,facebook_places,32.221259,-110.970836,0.9mi,,https://www.instagram.com/explore/locations/104370043087669
260,De Anza Park,465924840115084,facebook_places,32.2350655,-110.9710274,0.1mi · 1000 N Stone Ave,,https://www.instagram.com/explore/locations/465924840115084
261,Speedway and Stone,121394141349941,facebook_places,32.235946268353,-110.97096089614,0.2mi,,https://www.instagram.com/explore/locations/121394141349941
262,"Downtown Tucson, Tucson, Arizona",293857930715139,facebook_places,32.223548127279,-110.97284602312,0.7mi,,https://www.instagram.com/explore/locations/293857930715139
263,"Dunbar - Spring, Tucson",848545385215096,facebook_places,32.232177772691,-110.97570547427,0.4mi,,https://www.instagram.com/explore/locations/848545385215096
264,Park Place Mall,2223599897893682,facebook_places,32.227152623557,-110.96546403615,"0.5mi · Tucson, AZ, Tucson, Arizona",,https://www.instagram.com/explore/locations/2223599897893682
265,Sonora Venue,110107040746102,facebook_places,32.23229,-110.97134,"0.1mi · 828 N Stone Ave, Tucson, Arizona",,https://www.instagram.com/explore/locations/110107040746102
266,Dunbar Springs,460101667753027,facebook_places,32.232151,-110.97561,"0.3mi · N 10th Ave, Dunbar Springs",,https://www.instagram.com/explore/locations/460101667753027
267,Bumsted's,110113160836,facebook_places,32.234568,-110.972071,"0.1mi · 1003 N Stone Ave, Tucson, Arizona",,https://www.instagram.com/explore/locations/110113160836
268,San Augustine Church,146889375380527,facebook_places,32.207634,-110.974496,1.8mi,,https://www.instagram.com/explore/locations/146889375380527
269,4th Downtown,213213515374559,facebook_places,32.227984697122,-110.96571053704,0.5mi,,https://www.instagram.com/explore/locations/213213515374559
270,Greasewood Park,1076235542427012,facebook_places,32.236182,-110.972654,"0.2mi · West Speedway Blvd , Tucson, AZ",,https://www.instagram.com/explore/locations/1076235542427012
271,Bank of America,133470526705847,facebook_places,32.233318,-110.9713872,<0.1mi · 902 N Stone Ave,,https://www.instagram.com/explore/locations/133470526705847
272,Super Mario World,200359396694369,facebook_places,35.096027050013,-106.52310325001,,,https://www.instagram.com/explore/locations/200359396694369
273,Chuck E Cheese,1833887009992839,facebook_places,32.292683353615,-110.99100205156,4.2mi · speedway,,https://www.instagram.com/explore/locations/1833887009992839
274,The Union,226703867379607,facebook_places,32.2277198,-110.9435233,1.6mi,,https://www.instagram.com/explore/locations/226703867379607
275,Starbucks,2023502411051601,facebook_places,32.23639,-110.96846,"0.2mi · 203 East Speedway Boulevard, Tucson",,https://www.instagram.com/explore/locations/2023502411051601
276,Downtown Bellazza,2334681713437296,facebook_places,32.23665,-110.97139,"0.2mi · 1122 N Stone Ave, Tucson, Arizona",,https://www.instagram.com/explore/locations/2334681713437296
277,"Warehouse Arts District, Tucson",1476812292630749,facebook_places,32.227317819757,-110.96955736847,0.4mi,,https://www.instagram.com/explore/locations/1476812292630749
278,Tucson 4th Ave,151452661706616,facebook_places,32.22717,-110.9659,0.5mi · 429 N. 4th Ave,,https://www.instagram.com/explore/locations/151452661706616
279,The Arizona Bowl,689571847843989,facebook_places,32.2238,-110.97186,0.7mi · 100 S Church Ave,,https://www.instagram.com/explore/locations/689571847843989
280,Uofa Downtown Campus,123192347805104,facebook_places,32.222995357618,-110.97082561824,0.7mi,,https://www.instagram.com/explore/locations/123192347805104
281,Zemam's Too,155014251355590,facebook_places,32.2361489,-110.9696635,0.2mi · 119 E Speedway Blvd,,https://www.instagram.com/explore/locations/155014251355590
